DIVA;MessageValue;MessageCode
60201807;Abfragelimit erreicht!;316
60201808;Abfragelimit erreicht!;316
60201809;OK;1
60201810;Abfragelimit erreicht!;316
60201812;Abfragelimit erreicht!;316
60201813;OK;1
60201814;OK;1
60201815;OK;1
60201816;Abfragelimit erreicht!;316
60201821;Abfragelimit erreicht!;316
60201822;OK;1
60201823;Abfragelimit erreicht!;316
60201825;OK;1
60201826;OK;1
60201828;Haltepunkt existiert nicht!;312
60201829;Haltepunkt existiert nicht!;312
60201830;Haltepunkt existiert nicht!;312
60201831;Haltepunkt existiert nicht!;312
60201832;Haltepunkt existiert nicht!;312
60201833;Haltepunkt existiert nicht!;312
60201834;Haltepunkt existiert nicht!;312
60201835;Haltepunkt existiert nicht!;312
60201836;Haltepunkt existiert nicht!;312
60201837;Haltepunkt existiert nicht!;312
60201838;Haltepunkt existiert nicht!;312
60201839;Haltepunkt existiert nicht!;312
60201840;Haltepunkt existiert nicht!;312
60201841;Haltepunkt existiert nicht!;312
60201842;Abfragelimit erreicht!;316
60201843;Abfragelimit erreicht!;316
60201844;Haltepunkt existiert nicht!;312
60201846;Haltepunkt existiert nicht!;312
60201847;Abfragelimit erreicht!;316
60201848;OK;1
60201850;Abfragelimit erreicht!;316
60201851;OK;1
60201852;OK;1
60201853;OK;1
60201854;OK;1
60201855;OK;1
60201856;Haltepunkt existiert nicht!;312
60201857;OK;1
60201858;OK;1
60201859;OK;1
60201860;OK;1
60201861;OK;1
60201862;OK;1
60201863;OK;1
60201865;OK;1
60201866;Haltepunkt existiert nicht!;312
60201867;OK;1
60201868;OK;1
60201869;OK;1
60201871;OK;1
60201872;OK;1
60201873;OK;1
60201874;OK;1
60201875;OK;1
60201876;OK;1
60201878;OK;1
60201880;Abfragelimit erreicht!;316
60201881;OK;1
60201882;Haltepunkt existiert nicht!;312
60201883;Haltepunkt existiert nicht!;312
60201884;OK;1
60201885;OK;1
60201886;OK;1
60201887;Abfragelimit erreicht!;316
60201888;OK;1
60201889;Abfragelimit erreicht!;316
60201890;OK;1
60201891;Abfragelimit erreicht!;316
60201892;OK;1
60201893;OK;1
60201894;OK;1
60201895;OK;1
60201896;OK;1
60201897;OK;1
60201898;OK;1
60201900;OK;1
60201901;OK;1
60201903;Haltepunkt existiert nicht!;312
60201905;OK;1
60201906;OK;1
60201908;OK;1
60201909;OK;1
60201910;OK;1
60201911;OK;1
60201912;OK;1
60201913;Haltepunkt existiert nicht!;312
60201914;OK;1
60201915;OK;1
60201916;OK;1
60201917;Abfragelimit erreicht!;316
60201918;Abfragelimit erreicht!;316
60201919;OK;1
60201920;OK;1
60201921;OK;1
60201924;OK;1
60201925;OK;1
60201926;Haltepunkt existiert nicht!;312
60201927;Abfragelimit erreicht!;316
60201929;Abfragelimit erreicht!;316
60201930;OK;1
60201934;OK;1
60201935;OK;1
60201936;OK;1
60201937;OK;1
60201938;OK;1
60201942;OK;1
60201943;OK;1
60201945;Haltepunkt existiert nicht!;312
60201946;Haltepunkt existiert nicht!;312
60201947;OK;1
60202003;OK;1
60202004;OK;1
60202006;OK;1
60202500;OK;1
60202503;OK;1
60202910;OK;1
60202911;OK;1
60202912;OK;1
60202913;OK;1
60202915;OK;1
60202916;OK;1
60202917;OK;1
60202918;OK;1
60202920;OK;1
60202921;OK;1
60202922;Abfragelimit erreicht!;316
60202923;Haltepunkt existiert nicht!;312
60202924;OK;1
60202925;Haltepunkt existiert nicht!;312
60202950;Haltepunkt existiert nicht!;312
60202953;OK;1
60202954;OK;1
60203556;Abfragelimit erreicht!;316
60203558;OK;1
60203895;Abfragelimit erreicht!;316
60203897;OK;1
60204092;OK;1
60204735;OK;1
60204808;OK;1
60205133;OK;1
60205671;OK;1
60205921;OK;1
60251351;Haltepunkt existiert nicht!;312
60251352;Haltepunkt existiert nicht!;312
60251353;Haltepunkt existiert nicht!;312
60251354;Haltepunkt existiert nicht!;312
60251355;Haltepunkt existiert nicht!;312
60251356;Haltepunkt existiert nicht!;312
60251359;Haltepunkt existiert nicht!;312
60299974;Haltepunkt existiert nicht!;312
